Source,Target,weight,isDirectional
70,1592,0.7514691493021793,True
70,2825,0.7647058823529411,True
70,4172,0.7276068751089989,True
70,4264,0.7431605356175383,True
70,7146,0.7276068751089989,True
70,7894,0.8574929257125441,True
70,8504,0.7276068751089989,True
70,8929,0.7276068751089989,True
74,59,0.7745966692414833,True
74,5348,0.7745966692414833,True
74,6276,0.7456011350793258,True
74,7605,0.7660323462854265,True
74,7823,0.7745966692414833,True
74,7968,0.7660323462854265,True
74,9122,0.7349684152591671,True
74,9308,0.7349684152591671,True
74,9325,0.7660323462854265,True
74,9431,0.7349684152591671,True
76,447,0.7789808377045201,True
76,1956,0.77005354108682,True
76,3043,0.7570332986102252,True
76,3201,0.7570332986102252,True
76,4021,0.8010018789148141,True
76,4601,0.7456011350793258,True
76,5089,0.7894736842105264,True
76,5943,0.7694837640638656,True
76,6293,0.77005354108682,True
76,7214,0.7789808377045201,True
76,7921,0.7570332986102252,True
76,9558,0.8029550685469662,True
77,845,0.7647058823529411,True
77,1098,0.7701540462154053,True
77,3150,0.8003267306650411,True
77,5431,0.8235294117647058,True
77,5447,0.7647058823529411,True
77,5681,0.7647058823529411,True
77,6562,0.8003267306650411,True
77,6608,0.7647058823529411,True
77,7273,0.7701540462154053,True
77,7648,0.8574929257125441,True
77,7923,0.7882407813680822,True
77,7924,0.7882407813680822,True
77,7967,0.7882407813680822,True
77,9288,0.7647058823529411,True
77,9308,0.7778444682625973,True
77,9325,0.8003267306650411,True
77,9589,0.7647058823529411,True
83,989,0.7882407813680822,True
83,1024,0.7938566201357353,True
83,1164,0.76271276980969,True
83,2286,0.7660323462854265,True
83,3570,0.7938566201357353,True
83,6262,0.8017837257372732,True
83,6334,0.7660323462854265,True
83,6370,0.76271276980969,True
83,7080,0.8017837257372732,True
83,7232,0.8017837257372732,True
83,8199,0.7882407813680822,True
83,8470,0.8249579113843054,True
83,9114,0.76271276980969,True
83,9237,0.75,True
83,9348,0.75,True
83,9382,0.8125,True
83,9499,0.76271276980969,True
86,278,0.7412493166611012,True
86,481,0.8153742483272114,True
86,1411,0.7412493166611012,True
86,4219,0.7349684152591671,True
86,4573,0.7412493166611012,True
86,6462,0.7970811413304556,True
86,7195,0.7559289460184545,True
86,8337,0.8058229640253803,True
86,8407,0.7590721152765896,True
92,368,0.7844645405527361,True
92,917,0.7660323462854265,True
92,4131,0.7570332986102252,True
92,4252,0.7559289460184544,True
92,6263,0.7570332986102252,True
92,6851,0.8333333333333334,True
92,7076,0.7660323462854265,True
92,8484,0.7559289460184544,True
92,8597,0.7905694150420949,True
92,8922,0.7660323462854265,True
92,8927,0.7911548052852398,True
92,9569,0.8249579113843054,True
93,4245,0.7453559924999298,True
93,8159,0.7453559924999298,True
93,8284,0.7453559924999298,True
103,423,0.7581753965757456,True
103,1057,0.846809798439941,True
103,1095,0.7637626158259733,True
103,1569,0.7888106377466153,True
103,1585,0.8010018789148141,True
103,1958,0.8229511997978235,True
103,2307,0.7581753965757456,True
103,2484,0.8095238095238094,True
103,2890,0.7581753965757456,True
103,3641,0.7637626158259733,True
103,4637,0.7637626158259733,True
103,4775,0.7807200583588264,True
103,4946,0.7559289460184544,True
103,5175,0.7715167498104595,True
103,5694,0.8295150620062531,True
103,5787,0.7637626158259733,True
103,6462,0.8010018789148141,True
103,7487,0.7619047619047618,True
103,7595,0.7637626158259733,True
103,8400,0.7807200583588264,True
103,8583,0.7807200583588264,True
103,8704,0.7807200583588264,True
105,265,0.7412493166611013,True
105,296,0.787726361443376,True
105,603,0.7526178090063818,True
105,1526,0.7526178090063818,True
105,3114,0.7526178090063818,True
105,4658,0.7412493166611013,True
105,5041,0.7692307692307694,True
105,5159,0.787726361443376,True
105,5602,0.7692307692307694,True
105,5703,0.76271276980969,True
105,5714,0.76271276980969,True
105,5738,0.8593378488473195,True
105,6461,0.8153742483272114,True
108,989,0.8235294117647058,True
108,1044,0.7778444682625973,True
108,1237,0.8003267306650411,True
108,1936,0.7882407813680822,True
108,2041,0.7647058823529411,True
108,3055,0.7789808377045201,True
108,3168,0.807207352795575,True
108,3242,0.7647058823529411,True
108,4630,0.7882407813680822,True
108,5157,0.8235294117647058,True
108,6459,0.8574929257125441,True
108,6608,0.7647058823529411,True
108,7128,0.7778444682625973,True
108,7267,0.8140915784106942,True
108,7630,0.7882407813680822,True
108,8760,0.7789808377045201,True
108,8912,0.7882407813680822,True
108,8956,0.7882407813680822,True
108,9275,0.7789808377045201,True
109,110,0.7882407813680822,True
109,399,0.8125,True
109,817,0.75,True
109,3327,0.75,True
109,3855,0.8488746876271653,True
109,4596,0.75,True
109,5318,0.7882407813680822,True
109,6210,0.75,True
109,6930,0.7745966692414833,True
109,8268,0.7882407813680822,True
109,8548,0.75,True
109,8597,0.7826237921249264,True
109,8848,0.75,True
109,9570,0.7660323462854265,True
110,109,0.7882407813680822,True
110,455,0.8140915784106942,True
110,845,0.7647058823529411,True
110,1975,0.807207352795575,True
110,3150,0.8003267306650411,True
110,3855,0.8823529411764706,True
110,5318,0.8823529411764706,True
110,5631,0.7882407813680822,True
110,6562,0.8003267306650411,True
110,6727,0.7882407813680822,True
110,7273,0.7701540462154053,True
110,7338,0.7778444682625973,True
110,7582,0.8003267306650411,True
110,7594,0.7647058823529411,True
110,8242,0.7778444682625973,True
110,8548,0.7882407813680822,True
110,8848,0.7882407813680822,True
110,9051,0.7882407813680822,True
110,9287,0.8426648406178138,True
110,9485,0.7647058823529411,True
110,9521,0.7882407813680822,True
112,122,0.7537783614444091,True
112,817,0.7537783614444091,True
112,845,0.8043996665398437,True
112,1074,0.778498944161523,True
112,1098,0.7833494518006403,True
112,2432,0.7537783614444091,True
112,3841,0.7537783614444091,True
112,4563,0.7537783614444091,True
112,4603,0.7833494518006403,True
112,5078,0.7537783614444091,True
112,5093,0.7537783614444091,True
112,5359,0.778498944161523,True
112,5605,0.7537783614444091,True
112,6562,0.7817359599705715,True
112,9584,0.7537783614444091,True
112,9589,0.8043996665398437,True
115,917,0.7660323462854265,True
115,965,0.8249579113843054,True
115,1419,0.7660323462854265,True
115,2727,0.8189230248533257,True
115,4131,0.8111071056538127,True
115,4711,0.7660323462854265,True
115,4906,0.7777777777777778,True
115,6449,0.8003267306650412,True
115,6851,0.8333333333333334,True
115,7568,0.7777777777777778,True
115,7636,0.7777777777777778,True
115,7890,0.7660323462854265,True
115,7968,0.7777777777777778,True
115,8760,0.7570332986102252,True
115,8848,0.7660323462854265,True
115,9029,0.8432740427115678,True
115,9051,0.7660323462854265,True
115,9261,0.7559289460184544,True
117,1732,0.7514691493021793,True
117,1773,0.7505553499465134,True
117,2277,0.7590721152765896,True
117,2435,0.7514691493021793,True
117,2855,0.7784989441615229,True
117,3448,0.7514691493021793,True
117,5498,0.7745966692414833,True
119,2607,0.7431605356175383,True
